@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric

@data
2407,'2025/02/28 23:17:22:689',6,-0.98249,-0.096898,-0.183619,0.901943,-0.352493,0.277348,0,0,?,?,?,?
2408,'2025/02/28 23:17:22:708',6,-0.982395,-0.096816,-0.183928,0.903066,-0.350982,0.276903,0,0,?,?,?,?
2409,'2025/02/28 23:17:22:708',6,-0.982192,-0.096806,-0.184274,0.903066,-0.350982,0.276903,0,0,?,?,?,?
2410,'2025/02/28 23:17:22:716',6,-0.98193,-0.096873,-0.184624,0.90412,-0.34922,0.276575,0,0,?,?,?,?
2411,'2025/02/28 23:17:22:726',6,-0.981664,-0.096982,-0.184957,0.90521,-0.347302,0.276294,0,0,?,?,?,?
2412,'2025/02/28 23:17:22:744',6,-0.98148,-0.097077,-0.185228,0.906283,-0.345281,0.276069,0,0,?,?,?,?
2413,'2025/02/28 23:17:22:747',6,-0.981328,-0.097309,-0.185532,0.907262,-0.343174,0.275913,0,0,?,?,?,?
2414,'2025/02/28 23:17:22:757',6,-0.981173,-0.097653,-0.185848,0.908211,-0.341002,0.275802,0,0,?,?,?,?
2415,'2025/02/28 23:17:22:779',6,-0.981023,-0.098046,-0.186132,0.91013,-0.335314,0.275525,0,0,?,?,?,?
2416,'2025/02/28 23:17:22:780',6,-0.98088,-0.098355,-0.186351,0.91013,-0.335314,0.275525,0,0,?,?,?,?
2417,'2025/02/28 23:17:22:788',6,-0.980762,-0.098517,-0.186475,0.911213,-0.332889,0.275202,0,0,?,?,?,?
2418,'2025/02/28 23:17:22:799',6,-0.980741,-0.098584,-0.186443,0.912377,-0.330449,0.274754,0,0,?,?,?,?
